postcode,lsoa21cd,lsoa21nm,admin_district,codes_lsoa
B6 4TF,E01008910,E05011156,Birmingham,E01008910
B21 8AA,E01009274,E05011147,Birmingham,E01009274
B13 9LJ,E01009395,E05011171,Birmingham,E01009395
B34 6SR,E01009307,E05011165,Birmingham,E01009307
B31 5HQ,E01034942,E05011136,Birmingham,E01034942
B8 2HP,E01009486,E05011183,Birmingham,E01009486
B5 7XN,E01008995,E05011122,Birmingham,E01008995
B44 9AL,E01009225,E05011159,Birmingham,E01009225
B26 1DP,E01008891,E05011169,Birmingham,E01008891
B24 9NQ,E01009012,E05011135,Birmingham,E01009012
B8 3SL,E01034932,E05011120,Birmingham,E01034932
B12 9RN,E01034939,E05011122,Birmingham,E01034939
B32 3TH,E01008931,E05011123,Birmingham,E01008931
B35 7LX,E01009097,E05011132,Birmingham,E01009097
B24 0EP,E01009009,E05011135,Birmingham,E01009009
B32 1DT,E01009253,E05011163,Birmingham,E01009253
B26 2AW,E01009516,E05011185,Birmingham,E01009516
B34 6TX,E01009309,E05011165,Birmingham,E01009309
B11 3SH,E01033643,E05011171,Birmingham,E01033643
B14 6DD,E01008968,E05011124,Birmingham,E01008968
B33 8UG,E01009513,E05011186,Birmingham,E01009513
B29 7RB,E01009293,E05011128,Birmingham,E01009293
B33 0UN,E01009512,E05011137,Birmingham,E01009512
B45 9UF,E01009159,E05011164,Birmingham,E01009159
B44 0BX,E01009134,E05011150,Birmingham,E01009134
B33 8AN,E01009507,E05011186,Birmingham,E01009507
B44 8QE,E01009231,E05011150,Birmingham,E01009231
B18 6PJ,E01009347,E05011168,Birmingham,E01009347
B26 3AB,E01009314,E05011166,Birmingham,E01009314
B7 4NP,E01034927,E05011155,Birmingham,E01034927
B34 7LT,E01009308,E05011165,Birmingham,E01009308
B13 9BA,E01033648,E05011154,Birmingham,E01033648
B6 7LZ,E01008899,E05011155,Birmingham,E01008899
B18 4PN,E01009360,E05011168,Birmingham,E01009360
B30 2LE,E01008955,E05011172,Birmingham,E01008955
B10 0JG,E01009338,E05011167,Birmingham,E01009338
B38 8QS,E01009119,E05011149,Birmingham,E01009119
